59.3291681,18.0683951
59.32922780000001,18.0690789
59.3296212,18.0687423
59.330184,18.0685745
59.3299292,18.0673423
59.3311164,18.0661443
59.3298293,18.0612743
59.3279294,18.0604989
59.32138669999999,18.0678675
59.32041839999999,18.0684381
59.30653249999999,18.075194
59.30142600000001,18.0799892
59.299215,18.0794939
59.2991837,18.0784343
59.29637330000001,18.0653001
59.2985432,18.0288725
59.1633757,17.6493723
57.7583902,14.1565884
57.68624269999999,12.0108467
57.7036655,11.9951497
57.70659620000001,11.9962919
57.70701020000001,11.9933434
57.7073336,11.9783291
57.7084944,11.9774001
